Año,Peru_inflación,Peru_PBI_por,PBI,Demanda Interna,Consumo Privado,Consumo Público,Inversión Bruta Interna,Inversión Bruta Fija,Inversión Bruta Fija - Privada,Inversión Bruta Fija - Pública,Exportaciones de BBySS,Importaciones de BBySS,PBI Agropecuario,PBI Pesca,PBI Minería e Hidrocarburos,PBI Manufactura,PBI Electricidad y Agua ,PBI Construcción,PBI Comercio,PBI Servicios,PBI Sectores Primarios,PBI Sectores no Primarios,Inversión Pública_por_pbi,Resultado económico SPNF_por_pbi,EEUU_PBI_por,EEUU_inflación,Tipo_de_cambio_dólares
1922.0,-4.72,5.1,14122.0,12688.0,10616.0,630.0,1442.0,1783.0,,,2845.0,1410.0,2519.0,,1650.0,1774.0,19.0,592.0,1987.0,5582.0,4169.0,9953.0,,,5.97,-2.31,0.0
1923.0,-5.07,4.5,14756.0,13103.0,10437.0,677.0,1989.0,2154.0,,,3358.0,1705.0,2522.0,,1858.0,1853.0,20.0,660.0,2037.0,5807.0,4380.0,10377.0,,,12.68,2.37,0.0
1924.0,3.81,8.9,16070.0,14566.0,11335.0,796.0,2435.0,2519.0,,,3515.0,2012.0,2625.0,,2219.0,1930.0,21.0,729.0,2182.0,6364.0,4844.0,11226.0,,,3.75,0.0,0.0
1925.0,7.12,3.1,16575.0,15162.0,11272.0,873.0,3017.0,2696.0,,,3391.0,1978.0,2555.0,,2456.0,2005.0,22.0,736.0,2187.0,6614.0,5012.0,11564.0,,,2.41,3.47,0.0
1926.0,0.55,9.4,18130.0,15776.0,11798.0,1048.0,2931.0,2897.0,,,4343.0,1989.0,2752.0,,2914.0,2135.0,23.0,820.0,2314.0,7172.0,5666.0,12464.0,,,5.88,-1.12,0.0
1927.0,-3.81,3.1,18687.0,15898.0,12289.0,1169.0,2440.0,3223.0,,,4797.0,2008.0,2826.0,,2834.0,2272.0,24.0,950.0,2379.0,7403.0,5659.0,13027.0,,,1.11,-2.26,0.0
1928.0,-6.3,5.4,19690.0,16911.0,12924.0,1256.0,2731.0,3004.0,,,4824.0,2044.0,2868.0,,3143.0,2414.0,25.0,919.0,2439.0,7883.0,6011.0,13679.0,,,1.1,-1.16,0.0
1929.0,-2.69,12.6,22169.0,19304.0,14011.0,1391.0,3902.0,3624.0,,,5156.0,2291.0,3170.0,1.0,3676.0,2693.0,26.0,1098.0,2706.0,8798.0,6848.0,15322.0,,,6.52,0.58,0.0
1930.0,-4.52,-9.5,20065.0,17431.0,13190.0,1272.0,2970.0,2285.0,,,3961.0,1327.0,3001.0,1.0,3364.0,2235.0,24.0,538.0,2359.0,8541.0,6366.0,13698.0,,,-8.5,-6.4,0.0
1931.0,-6.51,-6.6,18739.0,15806.0,13097.0,1220.0,1489.0,1256.0,,,4038.0,1105.0,2840.0,1.0,2690.0,2285.0,23.0,373.0,2158.0,8370.0,5531.0,13208.0,,,-6.4,-9.32,0.0
1932.0,-4.43,-3.3,18130.0,15418.0,13067.0,1102.0,1249.0,801.0,,,3484.0,772.0,2943.0,1.0,2271.0,2107.0,20.0,255.0,2096.0,8438.0,5215.0,12915.0,,,-12.9,-10.27,0.0
1933.0,-2.65,10.8,20081.0,16733.0,14152.0,1289.0,1292.0,1033.0,,,4220.0,872.0,3154.0,1.0,2917.0,2423.0,21.0,319.0,2286.0,8960.0,6072.0,14009.0,,,-1.2,0.76,0.0
1934.0,2.04,12.7,22632.0,19075.0,15602.0,1492.0,1981.0,1879.0,,,4980.0,1423.0,3424.0,1.0,3573.0,2807.0,25.0,464.0,2634.0,9704.0,6998.0,15634.0,,,10.8,1.52,0.0
1935.0,1.33,8.9,24635.0,20638.0,16491.0,1474.0,2673.0,2345.0,,,5611.0,1614.0,3679.0,1.0,3993.0,3089.0,30.0,633.0,2865.0,10345.0,7673.0,16962.0,,,8.9,2.99,0.0
1936.0,5.26,4.8,25821.0,21665.0,17331.0,1721.0,2613.0,2600.0,,,6015.0,1859.0,3745.0,1.0,4310.0,3099.0,34.0,749.0,2964.0,10920.0,8056.0,17765.0,,,12.9,1.45,0.0
1937.0,6.25,1.9,26322.0,21250.0,15413.0,1758.0,4080.0,2978.0,,,7150.0,2078.0,3643.0,1.0,4321.0,3120.0,38.0,861.0,2971.0,11367.0,7965.0,18357.0,,,5.1,2.86,0.0
1938.0,1.28,2.0,26850.0,22117.0,15849.0,1996.0,4273.0,2966.0,,,6792.0,2059.0,3722.0,1.0,4323.0,3123.0,42.0,839.0,3008.0,11792.0,8046.0,18804.0,,,-3.3,-2.78,0.0
1939.0,-1.31,0.8,27070.0,23364.0,17700.0,2002.0,3662.0,2801.0,,,5437.0,1732.0,3819.0,1.0,3862.0,3404.0,45.0,890.0,3021.0,12027.0,7682.0,19387.0,,,8.0,0.0,0.0
1940.0,7.46,2.5,27738.0,24883.0,18991.0,1912.0,3981.0,2541.0,,,4705.0,1850.0,3988.0,2.0,3786.0,3582.0,48.0,744.0,3143.0,12445.0,7776.0,19962.0,,,8.8,0.71,0.0
1941.0,8.33,0.9,27974.0,23685.0,18015.0,2353.0,3318.0,2769.0,,,6114.0,1826.0,3816.0,3.0,3586.0,3782.0,55.0,850.0,3094.0,12788.0,7405.0,20569.0,,,17.7,9.93,0.0
1942.0,12.22,-1.0,27684.0,24936.0,18007.0,2570.0,4358.0,2460.0,,,4244.0,1495.0,3637.0,6.0,3818.0,3370.0,61.0,873.0,2841.0,13079.0,7461.0,20224.0,,,18.9,9.03,0.0
1943.0,10.1,1.7,28169.0,26608.0,18248.0,2555.0,5806.0,2908.0,,,3378.0,1818.0,3398.0,7.0,3969.0,3291.0,66.0,958.0,2784.0,13695.0,7375.0,20794.0,,,17.0,2.96,0.0
1944.0,14.11,8.1,30438.0,28701.0,20191.0,2601.0,5909.0,3541.0,,,3800.0,2064.0,3685.0,8.0,3965.0,3983.0,74.0,1149.0,3153.0,14420.0,7659.0,22779.0,,,8.0,2.3,0.0
1945.0,11.4,3.4,31481.0,28486.0,20170.0,2611.0,5705.0,4125.0,,,5097.0,2102.0,3835.0,23.0,3819.0,3845.0,79.0,1345.0,3275.0,15260.0,7677.0,23805.0,,,-1.0,2.25,0.0
1946.0,9.41,4.0,32745.0,29685.0,23448.0,2923.0,3314.0,4948.0,,,5843.0,2783.0,3924.0,22.0,3371.0,4103.0,86.0,1256.0,3619.0,16364.0,7318.0,25427.0,,,-11.6,18.13,0.0
1947.0,29.22,3.5,33877.0,32556.0,24220.0,3024.0,5312.0,4624.0,,,4462.0,3141.0,3902.0,24.0,3405.0,4554.0,95.0,1334.0,3601.0,16963.0,7330.0,26547.0,,,-1.1,8.84,0.0
1948.0,30.9,3.8,35150.0,33881.0,26259.0,2783.0,4839.0,4346.0,,,4151.0,2882.0,4050.0,26.0,3492.0,4767.0,104.0,1331.0,3648.0,17733.0,7568.0,27582.0,,,4.11,2.99,0.0
1949.0,14.83,7.8,37881.0,36542.0,27840.0,2754.0,5947.0,4354.0,,,4403.0,3064.0,4327.0,36.0,3901.0,5302.0,114.0,1332.0,3909.0,18961.0,8264.0,29617.0,,,-0.56,-2.07,0.0
1950.0,10.29,8.0,40920.0,38832.0,30156.0,3396.0,5280.0,5111.0,4492.0,620.0,5943.0,3855.0,4486.0,45.0,4220.0,5630.0,123.0,1527.0,4303.0,20586.0,8751.0,32169.0,,,8.69,5.93,0.0
1951.0,9.95,9.3,44711.0,44094.0,33508.0,3493.0,7093.0,6821.0,6165.0,656.0,5824.0,5208.0,4621.0,47.0,4553.0,6192.0,127.0,1794.0,4575.0,22802.0,9221.0,35490.0,,,8.05,6.0,0.0
1952.0,6.92,5.9,47347.0,46430.0,34356.0,3887.0,8187.0,7987.0,6519.0,1468.0,6692.0,5775.0,4755.0,51.0,4704.0,6525.0,132.0,2216.0,4764.0,24200.0,9510.0,37837.0,,,4.09,0.75,0.0
1953.0,9.09,5.8,50085.0,49023.0,36175.0,3966.0,8882.0,8625.0,7400.0,1226.0,7328.0,6266.0,4865.0,44.0,4431.0,7370.0,166.0,2336.0,5123.0,25750.0,9340.0,40745.0,,,4.69,0.75,0.0
1954.0,5.4,5.3,52762.0,50438.0,38076.0,4703.0,7659.0,7244.0,6285.0,960.0,7826.0,5502.0,4962.0,58.0,5920.0,8067.0,169.0,2623.0,5430.0,25533.0,10940.0,41822.0,,,-0.58,-0.74,0.0
1955.0,4.7,5.9,55858.0,54687.0,41149.0,4701.0,8837.0,8577.0,6475.0,2102.0,8213.0,7043.0,4922.0,68.0,5961.0,8673.0,184.0,2778.0,5634.0,27638.0,10951.0,44907.0,,,7.13,0.37,0.0
1956.0,5.47,4.7,58484.0,57865.0,42263.0,4976.0,10626.0,10475.0,8812.0,1663.0,8889.0,8270.0,4686.0,85.0,6593.0,8939.0,196.0,3111.0,5619.0,29255.0,11364.0,47120.0,,,2.13,2.99,0.0
1957.0,7.4,6.6,62371.0,62315.0,44707.0,5760.0,11848.0,11405.0,10022.0,1384.0,9147.0,9091.0,4705.0,95.0,7226.0,9853.0,221.0,3195.0,5965.0,31111.0,12026.0,50345.0,,,2.11,2.9,0.0
1958.0,7.94,-1.1,61706.0,60519.0,44274.0,5756.0,10489.0,10192.0,8769.0,1422.0,9210.0,8023.0,5030.0,142.0,6546.0,9589.0,250.0,2901.0,6048.0,31200.0,11718.0,49988.0,,,-0.74,1.76,0.0
1959.0,12.7,3.2,63653.0,59950.0,44719.0,6449.0,8782.0,8007.0,7067.0,940.0,10416.0,6713.0,5276.0,229.0,6690.0,10486.0,252.0,2556.0,6529.0,31635.0,12195.0,51458.0,,,6.93,1.73,0.0
1960.0,8.63,9.9,69946.0,64588.0,46682.0,7578.0,10328.0,8596.0,7740.0,857.0,13388.0,8029.0,5614.0,312.0,10002.0,12162.0,289.0,2453.0,7337.0,31777.0,15928.0,54018.0,,,2.57,1.36,0.0
1961.0,6.02,7.3,75085.0,69052.0,48688.0,8758.0,11606.0,10993.0,8835.0,2158.0,15797.0,9764.0,5782.0,440.0,10932.0,13108.0,359.0,3015.0,7811.0,33638.0,17154.0,57931.0,,,2.56,0.67,0.0
1962.0,6.62,10.0,82620.0,76771.0,54666.0,9200.0,12905.0,12476.0,10573.0,1903.0,16862.0,11014.0,5921.0,567.0,10396.0,14185.0,374.0,3289.0,8318.0,39570.0,16884.0,65736.0,,,6.13,1.33,0.0
1963.0,6.02,4.3,86196.0,81817.0,59612.0,9737.0,12468.0,11869.0,9898.0,1971.0,16559.0,12180.0,6010.0,591.0,11062.0,14985.0,398.0,2842.0,8662.0,41646.0,17663.0,68533.0,,,4.36,1.64,0.0
1964.0,9.85,6.5,91840.0,87148.0,63353.0,10956.0,12839.0,11790.0,9112.0,2677.0,17701.0,13009.0,6305.0,762.0,11615.0,16037.0,425.0,3143.0,9253.0,44300.0,18682.0,73158.0,,,5.76,0.97,0.0
1965.0,16.36,5.6,97003.0,93996.0,67778.0,11698.0,14520.0,14111.0,10647.0,3464.0,18215.0,15208.0,6431.0,630.0,11789.0,17092.0,460.0,3552.0,9652.0,47397.0,18850.0,78153.0,,,6.5,1.92,0.0
1966.0,8.89,8.2,104995.0,103165.0,74505.0,11713.0,16947.0,15847.0,11845.0,4001.0,19067.0,17237.0,6778.0,744.0,12944.0,18415.0,501.0,3868.0,10348.0,51397.0,20466.0,84529.0,,,6.6,3.46,0.0
1967.0,11.46,3.9,109040.0,107964.0,79682.0,12118.0,16164.0,14556.0,11099.0,3457.0,20189.0,19113.0,7042.0,849.0,13100.0,19141.0,548.0,3845.0,10782.0,53733.0,20991.0,88049.0,,,2.74,3.04,0.0
1968.0,19.12,0.2,109206.0,104400.0,78662.0,12893.0,12845.0,12388.0,9328.0,3060.0,22181.0,17376.0,6803.0,864.0,13912.0,19505.0,579.0,3291.0,10800.0,53452.0,21579.0,87627.0,,,4.92,4.72,0.0
