compania;tipo_de_plan;mes;año;numero_de_lineas
Claro;control;1;2013;6
Claro;control;1;2013;8
Claro;control;1;2013;9
Claro;control;1;2013;11
Claro;control;1;2013;15
Claro;control;1;2013;16
Claro;control;1;2013;20
Claro;control;1;2013;22
Claro;control;1;2013;24
Claro;control;1;2013;41
Claro;control;1;2013;51
Claro;control;1;2013;54
Claro;control;1;2013;60
Claro;control;1;2013;71
Claro;control;1;2013;79
Claro;control;1;2013;83
Claro;control;1;2013;98
Claro;control;1;2013;98
Claro;control;1;2013;156
Claro;control;1;2013;170
Claro;control;1;2013;191
Claro;control;1;2013;426
Claro;control;1;2013;550
Claro;control;1;2013;918
Claro;control;1;2013;1218
Claro;postpago;1;2013;5807
Claro;control;1;2013;6599
Claro;postpago;1;2013;8582
Claro;postpago;1;2013;8706
Claro;postpago;1;2013;8941
Claro;postpago;1;2013;10225
Claro;postpago;1;2013;15730
Claro;prepago;1;2013;16426
Claro;postpago;1;2013;17092
Claro;postpago;1;2013;17184
Claro;postpago;1;2013;17572
Claro;postpago;1;2013;17815
Claro;postpago;1;2013;20984
Claro;postpago;1;2013;21603
Claro;postpago;1;2013;21708
Claro;postpago;1;2013;24807
Claro;prepago;1;2013;36292
Claro;postpago;1;2013;36721
Claro;prepago;1;2013;38602
Claro;prepago;1;2013;43438
Claro;postpago;1;2013;45555
Claro;prepago;1;2013;46141
Claro;prepago;1;2013;46435
Claro;postpago;1;2013;49837
Claro;postpago;1;2013;50322
Claro;postpago;1;2013;55041
Claro;postpago;1;2013;55601
Claro;postpago;1;2013;56011
Claro;prepago;1;2013;67723
Claro;prepago;1;2013;72731
Claro;prepago;1;2013;87032
Claro;postpago;1;2013;97158
Claro;prepago;1;2013;102240
Claro;prepago;1;2013;120678
Claro;prepago;1;2013;123967
Claro;postpago;1;2013;133940
Claro;prepago;1;2013;134037
Claro;prepago;1;2013;138393
Claro;prepago;1;2013;155045
Claro;prepago;1;2013;156545
Claro;prepago;1;2013;172472
Claro;postpago;1;2013;188339
Claro;prepago;1;2013;194421
Claro;prepago;1;2013;209004
Claro;postpago;1;2013;225961
Claro;prepago;1;2013;278037
Claro;prepago;1;2013;350937
Claro;prepago;1;2013;388682
Claro;prepago;1;2013;455297
Claro;prepago;1;2013;494585
Claro;postpago;1;2013;1521105
Claro;prepago;1;2013;2564784
Claro;prepago;1;2013;3740333
Entel;prepago;1;2013;1
Entel;postpago;1;2013;23
Entel;postpago;1;2013;49
Entel;postpago;1;2013;62
Entel;postpago;1;2013;156
Entel;postpago;1;2013;175
Entel;postpago;1;2013;216
Entel;prepago;1;2013;285
Entel;postpago;1;2013;312
Entel;postpago;1;2013;398
Entel;prepago;1;2013;472
Entel;prepago;1;2013;635
Entel;control;1;2013;746
Entel;prepago;1;2013;815
Entel;postpago;1;2013;879
Entel;postpago;1;2013;1142
Entel;prepago;1;2013;1166
Entel;control;1;2013;1247
Entel;control;1;2013;1412
Entel;postpago;1;2013;1577
Entel;prepago;1;2013;1889
Entel;postpago;1;2013;2066
Entel;control;1;2013;2163
Entel;control;1;2013;2310
Entel;control;1;2013;3228
Entel;postpago;1;2013;3709
Entel;prepago;1;2013;4435
Entel;control;1;2013;5202
Entel;control;1;2013;7028
Entel;prepago;1;2013;12927
Entel;prepago;1;2013;13035
Entel;control;1;2013;13350
Entel;control;1;2013;15107
Entel;control;1;2013;21165
Entel;prepago;1;2013;26108
Entel;control;1;2013;26507
Entel;prepago;1;2013;33080
Entel;postpago;1;2013;33820
Entel;postpago;1;2013;42169
Entel;control;1;2013;44765
Entel;prepago;1;2013;47989
Entel;prepago;1;2013;260008
Entel;control;1;2013;275875
Entel;control;1;2013;308391
Entel;prepago;1;2013;428399
Movistar;control;1;2013;1783
Movistar;postpago;1;2013;3358
Movistar;control;1;2013;4991
Movistar;control;1;2013;7282
Movistar;postpago;1;2013;7635
Movistar;control;1;2013;11686
Movistar;postpago;1;2013;12217
Movistar;postpago;1;2013;12304
Movistar;control;1;2013;13939
Movistar;prepago;1;2013;15107
Movistar;control;1;2013;16142
Movistar;postpago;1;2013;17378
Movistar;control;1;2013;20801
Movistar;control;1;2013;20897
Movistar;postpago;1;2013;21188
Movistar;control;1;2013;21321
Movistar;postpago;1;2013;23477
Movistar;control;1;2013;26264
Movistar;control;1;2013;26789
Movistar;control;1;2013;28981
Movistar;postpago;1;2013;30074
Movistar;control;1;2013;32372
Movistar;postpago;1;2013;33005
Movistar;control;1;2013;34466
Movistar;control;1;2013;34825
Movistar;control;1;2013;34996
Movistar;postpago;1;2013;35622
Movistar;postpago;1;2013;35751
Movistar;postpago;1;2013;36610
Movistar;postpago;1;2013;36771
Movistar;postpago;1;2013;37710
Movistar;postpago;1;2013;39318
Movistar;postpago;1;2013;42297
Movistar;prepago;1;2013;53437
Movistar;control;1;2013;55695
Movistar;postpago;1;2013;55970
Movistar;control;1;2013;56265
Movistar;control;1;2013;57082
Movistar;control;1;2013;60584
Movistar;postpago;1;2013;61050
Movistar;postpago;1;2013;70472
Movistar;prepago;1;2013;75729
Movistar;postpago;1;2013;76101
Movistar;control;1;2013;85803
Movistar;prepago;1;2013;85899
Movistar;prepago;1;2013;89149
Movistar;prepago;1;2013;90849
Movistar;control;1;2013;91514
Movistar;postpago;1;2013;93245
Movistar;postpago;1;2013;99733
Movistar;postpago;1;2013;100242
Movistar;control;1;2013;100745
Movistar;prepago;1;2013;101149
Movistar;control;1;2013;102103
Movistar;control;1;2013;103740
Movistar;postpago;1;2013;117578
Movistar;postpago;1;2013;120162
Movistar;prepago;1;2013;130950
Movistar;prepago;1;2013;151713
Movistar;prepago;1;2013;165482
Movistar;prepago;1;2013;166577
Movistar;prepago;1;2013;168003
Movistar;prepago;1;2013;202289
Movistar;prepago;1;2013;216304
Movistar;prepago;1;2013;240762
Movistar;prepago;1;2013;345297
Movistar;prepago;1;2013;406697
Movistar;prepago;1;2013;410625
Movistar;prepago;1;2013;461432
Movistar;prepago;1;2013;461797
Movistar;prepago;1;2013;485384
Movistar;prepago;1;2013;487264
Movistar;control;1;2013;531754
Movistar;prepago;1;2013;574470
Movistar;prepago;1;2013;613576
Movistar;postpago;1;2013;688118
Movistar;prepago;1;2013;2620327
Movistar;prepago;1;2013;3065925
Claro;control;2;2013;6
Claro;control;2;2013;8
Claro;control;2;2013;9
Claro;control;2;2013;9
Claro;control;2;2013;10
Claro;control;2;2013;10
Claro;control;2;2013;19
Claro;control;2;2013;23
Claro;control;2;2013;25
Claro;control;2;2013;37
Claro;control;2;2013;55
Claro;control;2;2013;55
Claro;control;2;2013;57
Claro;control;2;2013;69
Claro;control;2;2013;73
Claro;control;2;2013;77
Claro;control;2;2013;90
Claro;control;2;2013;142
Claro;control;2;2013;172
Claro;control;2;2013;196
Claro;control;2;2013;247
Claro;control;2;2013;393
Claro;control;2;2013;534
Claro;control;2;2013;889
Claro;control;2;2013;1325
Claro;postpago;2;2013;5647
Claro;control;2;2013;6155
Claro;postpago;2;2013;8320
Claro;postpago;2;2013;8858
Claro;postpago;2;2013;9031
Claro;postpago;2;2013;10154
Claro;postpago;2;2013;15565
Claro;prepago;2;2013;16067
Claro;postpago;2;2013;16890
Claro;postpago;2;2013;17110
Claro;postpago;2;2013;17470
Claro;postpago;2;2013;17986
Claro;postpago;2;2013;21754
Claro;postpago;2;2013;22169
Claro;postpago;2;2013;24628
Claro;prepago;2;2013;35865
Claro;postpago;2;2013;37247
Claro;prepago;2;2013;38398
Claro;prepago;2;2013;42662
Claro;prepago;2;2013;45041
Claro;postpago;2;2013;45126
Claro;prepago;2;2013;45470
Claro;postpago;2;2013;50670
Claro;postpago;2;2013;50709
Claro;postpago;2;2013;53993
Claro;postpago;2;2013;55192
Claro;postpago;2;2013;55418
